sentiment,clean_text
neutral,lose weight check pic
negative,rob
neutral,pleas vote husband star game vote anymor
negative,miss
positive,love mommi
neutral,announc big come everi time wait yell store first time
negative,still miss
neutral,oo ok open said repli like haha
positive,hope get let
negative,hard time
neutral,turn still go free
negative,thought funni
positive,thank view
neutral,aw well glad hear okay tri hot bath cup tea mayb calm worri
negative,happi
positive,funni almost right
neutral,upload random trailer youtub check also hd
positive,delici
neutral,account local comic store ran one time
positive,love
positive,awesom
positive,go come show love though hun
neutral,paint room
neutral,whether could chang usernam someon alreadi
neutral,go see star trek tomorrow night time full hope sick get better
positive,monday bother
positive,love
neutral,guess accept keep
negative,suck
positive,haha
negative,ill hate
positive,realli cute cut
neutral,peopl street ny wait friday crazi
positive,hope
negative,hurt
negative,rest season home saturday phone fix
positive,awww that nice
positive,love
positive,hope great time
negative,load still use mail
neutral,first day new job bought new cloth alreadi
neutral,must differ get
neutral,easi place access someth think like hear
positive,sleep good rice lmao
neutral,got new dog
neutral,know old parti like realiz one els danc
negative,bore
neutral,think come home
negative,sorri
negative,feel
neutral,interview week
neutral,last day sad happi
negative,feel like
neutral,ok babe got go back work tweet later
positive,everyth cool wish boy abl talk
positive,thank
neutral,myspac
positive,danc alright
positive,fun
neutral,attic today
negative,bath quit work especi
neutral,send along ladi
negative,late
neutral,peopl miss point instead loos follow hes gain new peopl hour
neutral,tri fix background
negative,sad miss babi
neutral,got insur form feel bit done though
neutral,hi mari poppin
negative,leg still hurt littl
positive,good time
negative,bodi decid want sick
neutral,get shoe
neutral,glorious day glasgow chang work much even knock earli
positive,good friend
positive,free da
negative,fair
negative,mani boy lack
positive,fun
positive,right
positive,special
positive,grea
positive,great song
neutral,well noth give pen
neutral,awww want see greg
negative,sorri hate kind time
negative,bum
neutral,make solo
neutral,atl morn back
positive,want may come end
positive,lucki gorgeous wife
negative,everybodi sick
negative,sorri
neutral,plurk account
positive,brand new
neutral,take pic
negative,miss
positive,happi
neutral,buy share stock probabl tomorrow
negative,look forward
neutral,never thought fall love much pain good thing
negative,stupid
neutral,get better pain though want give poor break
negative,upset
neutral,gave big mention radio show last first hour avail soon
positive,believ
positive,good morn everyon happi mother day mother hope
neutral,timberlak box
neutral,left learn oh least write
positive,cool
negative,annoy miss
neutral,chillin havin drink
neutral,oh want buy girl drew allow talk itun store
negative,realli go mess
negative,ahhh
neutral,hate happen excit though
positive,thank
negative,dare
neutral,get readi long weekend saturday sunday
neutral,everytim send email coach feel need practic ball lo
neutral,come wed want friend right
negative,fun
neutral,live life one tweet time
positive,hous parti smile
neutral,shot
positive,hope shatter time later
positive,happi
positive,make sens
neutral,hmm ok next time see il get explain whole haha
positive,happi
neutral,notic worri hope come
positive,love
positive,neat
positive,thank
positive,enjoy
neutral,haha yall realli hurri announc tour date freak month
neutral,paid go think vote vote count
neutral,chang outfit
positive,excit
neutral,week like join
positive,love
neutral,let read
negative,lame
neutral,wonder peopl life think handl small everi hour everyday
positive,hope
neutral,thought summer hour meant suppos get go home
positive,thanx da messag
negative,heart ach children
negative,typic
neutral,jealous wish
neutral,suppos sleep call
positive,thank
neutral,jack mommi gone dinner
neutral,toy stori june wait long
positive,funni
neutral,decent guy hard better american one
positive,good
positive,thank
positive,better
negative,feet realli hurt thought
positive,wish
neutral,feel fab today miss boo
positive,beauti
negative,suck
negative,rubbish
positive,nice
negative,sick
positive,nice
negative,haha trip talk read came idiot
neutral,hope get job cuz need apart drunk miss lil
neutral,think like degre
positive,thank
neutral,order invit new arriv back sa sorri make
neutral,lol rememb car accid
neutral,know goin sleep
negative,difficult
neutral,shop
neutral,thing mean world
positive,hope
neutral,littl hungri nice bowl soup fill
negative,disappoint
positive,great show
neutral,need hug got find anoth place live new job
neutral,forgot old twitter account pleas follow stop account prefer address age
positive,thank
positive,enjoy
negative,cramp
neutral,list
negative,sorri
neutral,man text tell want come say say hell bring
neutral,want listen use download andi
neutral,foot think let sinc intern twitter haha
neutral,hole quit nice hour one time regret never marri gotten cat
negative,mobil lack recept tri help look silli
neutral,watch babi eat
negative,sad
negative,darn
neutral,lot decis need lol lol real
neutral,sorri well glad close
negative,think pot work
neutral,earli dat time
neutral,demi think amaz cover get haha sure know
negative,broken
neutral,littl bit
negative,lone
negative,sleep
neutral,super keen drive home rain requir realli want deal
neutral,wind
negative,bad
positive,actual realli like last night part bit eh part chick sing like whoa
neutral,enjoy sunshin park friend footbal attract afraid
neutral,bought littl person wine bottl perfect wish wait long
positive,nice pre mother day dinner
positive,happi
neutral,think okay math test today realli realli realli hope swear get mad
neutral,rememb drink plenti count
neutral,leno last show tonight
neutral,meet right afternoon start fill
negative,bare
neutral,yeah go bad hope thing improv
negative,sad
positive,top
positive,good
negative,make sens
negative,got meet
positive,best lol
neutral,yay proud even even though told shut
neutral,actual love nasti lol
negative,miss
negative,kind piss
negative,thought win
neutral,total broke right wait till monday get paid though
positive,thank save money
neutral,wish thing differ
neutral,happi monday tweepl hope hard get bed back gear
negative,kind hard
neutral,book list anywher program tomorrow room
positive,look yummi
neutral,alreadi discuss today
positive,thank
positive,pretti satisfi thank much
neutral,english half convers english anyway al wa al
positive,true fan
negative,sick
negative,burn ohh xoxo
negative,wrong
neutral,morn everyon anoth dat school
neutral,someon work today told took real age test tell
neutral,eat right
positive,shower great
neutral,last ever uk tour
negative,sa
negative,better
negative,man
negative,miss someon
negative,seem sleep
neutral,aw like movi cool fulli understand think that cool
neutral,hair grow back
neutral,longer peep
neutral,need
neutral,file sweeti
positive,great
neutral,sky man quit like still annoy got woke half though
positive,awesom
positive,summer fun
negative,miss
neutral,happen quit
negative,suck
neutral,watch ace cake use alot ya spell
neutral,anyon els go train trip train day leav comment adventur site
positive,great
neutral,tri battl realli good
neutral,church might melt come back
positive,awesom
positive,amaz
negative,kill ba
neutral,need haircut abl pull hair
neutral,bad
neutral,tri repli lake tweet know happen said know lake well
neutral,know hd
neutral,eye wide shut one movi seen want sell sleep
negative,peopl weird
positive,happi birthday congrat wish take care
positive,amaz
neutral,made hole camera need get film
neutral,hello back work today week vacat
positive,look
neutral,come next week buy drink
positive,funni
neutral,morn miss what
negative,gosh today suck
neutral,okay weather cute friend get could warm one minut cold next freez
positive,best best
neutral,link
neutral,sigh
negative,feelin like blah
negative,disgust
neutral,suggest general stand parent teacher might confus tweep
neutral,mix air
neutral,come gig danc partner think hehe
negative,look forward
neutral,lol still got look face case
neutral,oh suppos go see star trek sun dave least
neutral,spell
positive,good luck
neutral,back drive back bed
neutral,mean go bed earlier monday
positive,hope everyth ok
neutral,tri send direct messag follow
negative,burnt
neutral,ok delet messag hope come back
negative,work still feel pain friend wish magic mad
neutral,tonight last jay leno late show
positive,cool
positive,love idea
negative,sleep good last night
positive,anoth week
neutral,see
negative,miss hair
neutral,got home got
neutral,sir amaz woke morn
neutral,watch onlin last episod
neutral,wow seem like sinc chang home phone workin week
neutral,joke sure
positive,fantast
neutral,cool get
positive,love
positive,hope everyon great bank holiday
negative,bore
neutral,job much
neutral,go get blood taken
negative,still tire
neutral,work get coffe
neutral,tree tip lawn
negative,kill
negative,hard
negative,sorri
positive,love
neutral,much love texa dislik could
positive,good
negative,miss
positive,good
negative,total lost rip
positive,watch everyth
neutral,besti
positive,enjoy though
neutral,never know think may new la home
neutral,realli want servic take airport want ok moment get use
positive,winner
positive,sometim kind day need relax
neutral,enjoy nice weather stuck write essay
positive,back
positive,thank everyth alway
negative,outta space
neutral,post
positive,sound nice
positive,nice
positive,love storm
neutral,joe close mani cop happen walk home bus go ohh
negative,tire
neutral,time bed
positive,love morn cycl work met degre offic
positive,amaz
negative,jealous
negative,kitchen go smell
neutral,start twitter feed time go bed nighti night sure go meet
positive,cool
neutral,yeah imagin
positive,like
positive,best roast
neutral,get readi go club listen whos skype right need outfit
positive,great
negative,ha
neutral,earli
neutral,clean
neutral,wish could take pillow school dead serious
negative,dead
neutral,beer awesom work hour
negative,wow scari
neutral,nevermind ill stop whatev see guess
neutral,light present time
positive,know crazi love use seen recent partner
negative,bad
neutral,think
negative,sad
neutral,bed
negative,though
negative,felt horribl poor thing
positive,final home big travel time
neutral,whatev want wear stick show around
negative,lazi
neutral,peopl myspac pleas add friend cloth line
neutral,miss da bus
negative,stomach ach total suck
neutral,assign
neutral,found ten one stori includ one run happen day
neutral,bit littl britain
negative,think
neutral,theatr develop skin audit sinc gotten part
neutral,night continu fav robin
negative,amaz hous look better effort
negative,holi
neutral,omg tweet till tweet differ
negative,sleep deserv
positive,enjoy
positive,hope
neutral,good two hour
neutral,twitter twitter haha
positive,good day
positive,lovin first ladi dress
neutral,edit photo took brother game hes got lot work coach
negative,exist anymor
neutral,sunburn line back tag stick top day ugh need went park
negative,virus hunt comput alway wonder
positive,happi
positive,great
neutral,hes mother favorit hard tell
neutral,start week wed end week funer
neutral,got back scan wow amaz cri haha
positive,love catch yo
positive,goodnight everyon happi mother day mother
negative,late
positive,fantast
neutral,unfortun fix work oh well lovin anyway
neutral,excit new push episod make much wors final gotten cancel
positive,relax
neutral,time realli fli go time bring sexi yu jacket
positive,play
positive,yay
neutral,yeah nite went see star trek rememb said car
negative,jealous
neutral,swear mine evil green everyth lol
positive,ok ipod
positive,like
negative,omg slept like last think die someth remind catch
negative,miss bus walk mile
positive,got home surpris smile hug kiss wait
neutral,way home sleep
negative,alreadi
negative,funer today go bad
negative,bust
positive,hope
positive,yes make
neutral,sure raini storm left everyth everywher love follow
neutral,yea
negative,seem work
negative,miss
positive,yay
negative,nah next week honey fault
positive,understand
negative,woke earli still sick
neutral,oooh time found seat bbq right front food
positive,happi mother day made cake rememb love
neutral,lol ok got get folk microsoft wa hire
negative,sorri
positive,tire today
negative,quit honest
neutral,address week lol
neutral,look phone like tri find feel
negative,long delay
negative,gut
neutral,window get someon attent
neutral,back empti apart
negative,hate
negative,fml
neutral,finish day ago need someth new gym
positive,want come kiss
negative,real sleep
positive,sweet
neutral,instal youtub download anyon know make trailer video
neutral,way bought today aswel twice cos pre order aswel see ya later
negative,miss
positive,love adopt
neutral,french paper
negative,tire
neutral,know wed suppos way know
neutral,want chang twitter name think anyth
negative,worri
neutral,look like might rain
positive,super high
negative,sorri
neutral,train tokyo visit sinc thursday go
neutral,call answer
positive,say gud guy
positive,fun
negative,mom sick
negative,sick
neutral,bacon look like poop
neutral,stop twitter cooki bgt
neutral,soooo need catch new stuff go airport fli home vega
positive,rest
positive,amaz
negative,dirti
neutral,realli less ang
neutral,listen random
positive,oh happ
negative,sorri
neutral,slept
neutral,rain bring back memori
neutral,go
positive,ahhh hes thing ever plus remind twilight good much
neutral,yes inde
neutral,thank well see long take finish thing
neutral,come
neutral,go tonight
negative,let watch
neutral,daughter went birthday parti today grace littl girl name grace made cupcak
neutral,guy call come someth def give call tomorrow hang chick
neutral,think want follow
negative,unfortun
neutral,certain tweet write spot messag person group tweet usual get delet hour
negative,suck
positive,realiz better
neutral,hack direct social net site think cool add go
positive,great
neutral,yay ill heart shout
positive,good
negative,lol serious fail sigh
neutral,build websit
positive,love
positive,glad mention last night watch
positive,beauti
neutral,got shower go appli job hope creepi old men work today
negative,got soooo
positive,love
positive,wish could one go next week
positive,call got math test result hell
positive,amus
neutral,get lot done could list phone everyth upload pic
negative,time bed oh wish someon lay next
neutral,hair straight lmao
negative,sick
positive,miss
neutral,look find
positive,fabul
neutral,aw level haha tri manag money
neutral,want come go parti
positive,problem
positive,nice
neutral,amaz thing keep onlin convers one place unfortun place googl
positive,love
positive,delici
negative,miss
positive,believ
negative,draw pictur show much miss
negative,burnt
neutral,studi fail come ill make chicken chicken salad
negative,piss let follow
positive,thank
neutral,wait last minut run experi get leav work time
neutral,help
neutral,record new song
neutral,oh thank god sad happi
positive,love
neutral,alot new pictur tweet realli old new check new one wish
neutral,bros back prom
neutral,sweet england becom sinc guy left
positive,happi
neutral,work fine far know mayb send tweet
positive,high five fan
neutral,book look cover
positive,yummi chocol even got one bday
neutral,hubbi still love
positive,great
neutral,found leav love flat wait hour still job news good day
negative,bore
negative,mad bore
neutral,alreadi crazi morn
negative,broke life fair
negative,wish
positive,final made
neutral,hello how life side screen
negative,go crazi pain got wait till thursday
positive,impress
positive,excel
positive,nothin better car sister blast ladi loud hear
positive,wish
positive,good
neutral,know phone
neutral,aww man arriv
neutral,tweep tweep haha
neutral,anyon updat googl look like miss
positive,good
negative,mean
neutral,hear sister
neutral,bring like team
positive,get better
negative,hate
positive,love mom best mom
positive,cute
negative,rubbish
neutral,expect content site realiz reach flash lol
neutral,wish bed
negative,cri
negative,struggl
neutral,agre
positive,love
negative,lost
negative,afraid
positive,alway amaz
negative,open offic writer weird
positive,hope
positive,happi mother day
positive,great
positive,look forward
positive,good time
neutral,ate ate usual ew full content full ew full
negative,problem
neutral,almost done first day miss place head close de
negative,poor
negative,tire
negative,hate pc
positive,like
neutral,cool
positive,quit like music honest
neutral,that great forc miss leav work
positive,like
negative,refus
neutral,success much alway wast money useless gift mum see ipod love
negative,bad cabl friday
neutral,woke earli dang man know go back sleep
neutral,hear sing came beauti person ever seen feel bad first impress though
positive,well done
neutral,mcfli lol nah cours get dvd first sinc alreadi order ill sign tuesday lol
negative,realis
negative,bad
negative,sad
neutral,know lo jack
positive,congratul
neutral,pretti good kind depress though
positive,fun aim
positive,great night
negative,feel good
neutral,well lol
neutral,wait
negative,oh
positive,new forest hope walk lose
neutral,yep think might made decis go head first may wit moment real talk
neutral,ran hair first full babi almost set hair fire get rid almost
negative,unfortun
neutral,mmmm
negative,happi
negative,miss
negative,laugh today hope thing
positive,sure look good
neutral,amaz time
positive,awesom
negative,miss
negative,good
neutral,man aint without vs feel like lil kid momma
neutral,love hate make feel
positive,wonder
neutral,mom think
positive,sound like great way start mother day enjoy day
positive,wake way back good night america
positive,lo
positive,realli fanci starbuck right
negative,sad
negative,thunder scare
neutral,least next year big wide world
positive,love
negative,hate
negative,aw
neutral,haha ashley
negative,miss
positive,happi
neutral,time
negative,hurt
positive,glad nice
neutral,mmmm yes pleas
negative,wrong place
neutral,ah finish make tea tomorrow night
neutral,one moment woke
neutral,look talk
negative,late contest
negative,miss
positive,fab
positive,happi
neutral,law attract action requir ask enter school still need fill applic
positive,name
neutral,call today leav earli window
negative,bad
positive,must
neutral,day text messag month
neutral,need coffe new day lie
negative,fat sad
negative,sad
positive,good luck
negative,dead
neutral,yes imagin need morn coffe otherwis function good relax sunday
neutral,come add new twitter fan
positive,like place
negative,bad
neutral,cours cough mean hour extra test time
negative,soooo tire yesterday long day offic dinner crash
positive,fantast
positive,omg
positive,want hear someth funni
positive,agre
neutral,yay st traffic
neutral,yeah wear na
negative,break
neutral,blow away rain yay well done
negative,got rain beach
neutral,drink need sick
positive,great
neutral,awesom think hate expens phone
positive,handi
positive,tri think someth calm peac relax beach
neutral,watch
neutral,leav behind
negative,wrong
neutral,base may may forc today star war day
positive,excit
positive,love travel
neutral,ran mile mcdonald ran mile back burn doubl egg lol
neutral,rain chocol world
neutral,smell mayb toast someth delici one place cook
neutral,come cold day ago nice feel like need winter back
negative,gut
positive,super
negative,three hour hair still straight
neutral,could post link internet version time read
neutral,want real key back
neutral,parti
neutral,quiet
neutral,friday night work
positive,made feel better
positive,fun
neutral,ship
neutral,live live dj click
neutral,lol haha fresh death lol ha ha love miss almost given cuz respond today love
neutral,sorri hear good com way
neutral,twitter mobil lol slow
positive,oh make sens well offici first celebr
neutral,want go appar one avail
positive,gloomi day stop
neutral,woo hoo time play name
positive,thank
negative,panic
negative,brian freez
negative,ya know today suck
neutral,believ close never chanc see show good luck everyon star
negative,realli degre high way work lake tomorrow go especi bomb sauc
negative,hell lot say complain day help case
positive,nice big bed
negative,ruin
neutral,good question could
neutral,team end world hope great race
positive,hope
neutral,good day work lot sale boss foot nice person like boss bug
negative,pictur sorri messag board play board
neutral,last tonight show jay leno tonight
negative,still feel blah
neutral,hear tonight last show
neutral,watch get readi bed morn
neutral,mind calm heart happi life good ok took breath away
neutral,beer oh wait work
positive,love
neutral,finish lunch
neutral,go grandpa place lunch celebr found chang chines bring
neutral,ooh like plan spend night well
neutral,let
positive,chillin
positive,get good
positive,love
neutral,omg rate star
neutral,cat fell bed bless got
positive,thank
positive,interest day yesterday
neutral,last blog publish web week next issu
negative,miss
positive,haha
neutral,follow lol
positive,happi help
negative,abl
negative,die
negative,pass away
neutral,go texa day
negative,hurt
negative,none thought make sens sober
positive,nice
neutral,time take test
negative,go last lunch go cri
negative,miss
neutral,feel breath believ keep mind never ever go think let go
neutral,bummer go tri make afraid got way next time hope
positive,may abl help
neutral,twitter tweet tweet
positive,britain got good weather wish
negative,realli sure
positive,awww
negative,lost
positive,hope
neutral,english well part weather obsess
neutral,huge hit skip shop let see kind troubl get
negative,sad
positive,love
positive,thank
neutral,one north one goe
positive,relax
neutral,near
positive,amaz
neutral,hey call week got go hang could use
negative,dammit
negative,die
neutral,page done
neutral,play machin
neutral,tire realli excit saturday oh well hope better tomorrow
positive,congratul
neutral,day go way fast
neutral,hey like new episod jona
positive,love slice
positive,perfect run
neutral,want play push dvd want make icon copi gone
positive,fun
neutral,yes chang name set
neutral,get excit hang go alon never mind excit lost
negative,sick seem like get better
neutral,sold store think
positive,excit
negative,head hurt much
neutral,realli cuz said main station even hav
positive,beauti
positive,thank sister
positive,lucki
neutral,sister suppos meet today pleas
positive,sens come
negative,day hard phone
positive,haha happi star war day
neutral,see see list
neutral,wish famili
positive,pleas pleas pleas pleas let match cancel today pleas
negative,frustrat
neutral,way see star trek
neutral,home alon much
neutral,come toy anymor jus wrong kind say mo
positive,excit
positive,happi mother day
negative,miss
neutral,lunch hors beer
neutral,put comput case year
positive,good
neutral,lol year born lol
negative,miss
neutral,know today amaz weather sit great
positive,like
neutral,hello new welcom new home
neutral,make
negative,drag
neutral,boil
positive,make sens
positive,excel
positive,happi see
neutral,know prob drive bit alway get time ac year bit go
positive,pleas pleas pleas think
neutral,done time final start
neutral,oh girl get babi go bed
negative,good time go
positive,hope
negative,got excit thought sydney
positive,happi mother day
neutral,day like
neutral,traffic back
negative,lost
neutral,make busi twitter
positive,thank
neutral,glad got clear know hate though
positive,adam rock
positive,yay
neutral,eat milk
negative,go miss
neutral,twitter quiet today
negative,bloodi mess love weather
positive,favorit
neutral,ok twitter show
neutral,field day win
positive,look forward
positive,made life
negative,stress mood
neutral,long goin
neutral,phone
neutral,much late ill get onto
negative,bare
positive,think rememb enjoy
positive,enjoy
neutral,lay egg
negative,well miss
positive,comfort
neutral,clean hous
positive,hot
positive,woohoo
negative,darn
negative,kind
positive,nice yo
positive,product
neutral,hey anymor back
neutral,could bought money spent
neutral,learn leg fam
positive,ly
neutral,morn view back deck
neutral,earli morn golf sunni day
negative,enjoy
positive,love
neutral,hangov today
neutral,haha play fall boy bar full older peopl need
neutral,fact appar first follow um
positive,final back dinner parti fun wine get marri next week may
positive,thank
neutral,get fire hug
negative,afraid math one
negative,bore
neutral,come far enough south
negative,well normal
neutral,slept entir long nap long enough time
positive,thank
positive,thank
neutral,rest day
negative,miss
neutral,look found lol
neutral,wow still gotten
positive,wish
negative,ouch
negative,like
positive,hope
positive,hope
negative,broke
neutral,garden attack bug came insid
negative,sorri
neutral,soooo sleepi got finish game lol cav whoop whoop
negative,boo
positive,happi mother day ladi
neutral,look new fell window bright green one time
positive,feel better
positive,feel good gave good workout
neutral,month ahaha know go tomorrow lmao went today freakin parent aha
negative,hurt
positive,great
positive,awww thank
negative,drank
positive,said til later enjoy day everyon
positive,go disney world lucki
negative,useless
negative,ugh cramp
negative,much rather
neutral,yeah suppos
positive,love
neutral,watch
neutral,time
positive,thank
negative,sad
negative,hand hurt
positive,best
negative,sad
negative,okay serious bore noth go rain
positive,greatest love
neutral,john present ever even onlin
negative,hate
neutral,peopl said come stuff bug peopl
neutral,awesom late though
neutral,alreadi ten minut late read flower attic late breakfast starbuck listen wake vega
neutral,get soon put dress mess
positive,great
positive,pray
negative,realli sorri
neutral,done class pack hope miley
negative,tire
neutral,studi later guy
negative,tan
negative,lone
positive,nd thank
negative,bloodi
neutral,got mine yet get
negative,tummi happi boo
positive,love new song
neutral,song desktop
positive,awesom
neutral,still live way could pop see
positive,want sandwich bad
negative,suck
negative,clue wtf
neutral,fall boy bear fall sky
neutral,chocol like
neutral,love ignor except yell love life
neutral,demi super girl like french fan
neutral,week exam revis bone time limit
neutral,miss yes usual free dinner day
neutral,watch
neutral,turn around go much sit sun side deck close
negative,worst news
positive,haha lol english work colleg
neutral,lol tweet peopl bore
neutral,time work
neutral,way
neutral,thank decid give old go account
neutral,week
positive,may fourth
neutral,leav
positive,wonder come
positive,sure like
neutral,home night pub
positive,easi
positive,amaz
neutral,kind coach read tweet still wait pictur
negative,everyon left
positive,yay
neutral,bless morn
negative,good
negative,done
negative,servic suck
positive,proud
neutral,work need money
negative,suck away
negative,see though
neutral,pub crawl
neutral,cat die math test day need get better
negative,kick
positive,date someon special
positive,love wed
neutral,probabl go miss race season sad track scan awesom
neutral,eat finish
negative,ugh
negative,sound goo
neutral,work day weekend well anoth one come week
positive,nice
neutral,hi get monday may mail via dm
neutral,haha okay tell rememb
positive,good
positive,hehe
negative,sorri
neutral,go see boyfriend momma tomorrow momma dayi
neutral,awww still go look though
neutral,eat
positive,super sweet
neutral,watch two half men work experi tomorrow
positive,finger cross
neutral,wait come home miss bad parent take canada
neutral,appar wrote word day sure practic work come
positive,understand
positive,ahh that fun
negative,suck
negative,sad
neutral,come sun come sun say right
positive,great
positive,haha thank
neutral,la fit work right busi morn
positive,omg found
neutral,made tonight
negative,rest peac
positive,proud
positive,love
neutral,jealous way hope enjoy wish go way
neutral,think law fight headach pay bill
positive,thank
positive,need simpl
positive,happi
negative,sick
neutral,guess ill sinc realli decid one choos
neutral,play pet
neutral,someth like
negative,think may broke toe bar drunk girl
negative,bore
positive,oh love
positive,good
neutral,yes origin de te
negative,oh man
neutral,follow idiot
neutral,get free chocol still gotten email
positive,cool thank
positive,good
negative,unfortun
neutral,work finger tip bare today code got
neutral,need sleep even tire
neutral,hehe yeah total write xd
neutral,hugh femal write essay
neutral,includ stuff releas
positive,interest
negative,dammit
positive,great
positive,nice
positive,love
neutral,awww poor tri make drive eat someth great show tonight wish could live far
negative,break
negative,miss
neutral,fail art final fml far worst semest life school wise otherwis best
positive,feel good ha
negative,like
positive,fun
neutral,time wind relax littl chang world littl twitter even rest other
neutral,either
neutral,hahaha drive leav wake tomorrow arriv hrs see ya
negative,odd wisdom
positive,loss like get graduat good way
neutral,watch mall cop funni bad guess kind wish still work movi
neutral,booo final could get back internet went
positive,goodnight
positive,haha
positive,love
positive,funni
positive,thank darl girl
positive,tri
negative,miss
negative,delay
negative,nice
positive,fun
negative,fool
positive,cool peopl check portfolio nice project
negative,except fact rain sinc wednesday suppos stop till monday ew
negative,bore
neutral,back home oven pop pizza
negative,guy smh
neutral,one go spring show
neutral,consid buy one
neutral,day left see
neutral,idea keep tweet sure someon tell
neutral,write
neutral,feelin littl blue tonight love might good
neutral,everyth good except neck shot steve back head shot
neutral,got firefox work get back
positive,great
neutral,dear move middl bed pleas
neutral,noth tonight
neutral,way
neutral,feel better
neutral,time hes gone night
positive,far good
positive,fun
negative,stupid weather
negative,yes dude go cri
positive,aww
neutral,listen dang
neutral,thankyou suggest
neutral,well miss think realli like
positive,hope
neutral,photo perhap lol see
neutral,feelin hot
negative,rememb wh
positive,ohh
negative,bore
neutral,work
negative,fail
negative,sad
negative,realli
neutral,continu episod come
neutral,colleg cop get see one person group togeth
positive,love
negative,heavi
neutral,yay box although box eat spend rest even code
neutral,suppos certain charm person hold track phone like phone
neutral,mean
positive,lot fun
neutral,good morn aww sorri stuck airport hour
positive,good night
positive,wish
neutral,never part follow friday
negative,heard
neutral,poor buddi teas think need
neutral,rub
negative,marri silli man
positive,wait defin go amaz
positive,wonder day
neutral,guess go still gym work
neutral,min lol wait ed show
neutral,long shift tonight realli sleep tire nice talk jon work got love boy
neutral,actual workin
positive,wish
neutral,hey dude finish dude saw pic long hair let say keep short ha
positive,weekend go great
neutral,oh
negative,sad face moment day
negative,disappoint
neutral,second last first time ever time haha
positive,fun
neutral,enough read
neutral,right promis
positive,great album
neutral,coupl bus stop away realiz month ago
neutral,love tire
positive,wish
neutral,phone woo
positive,promis
positive,life good
neutral,sorri messag yet get thought straight tomorrow ill tri goodnight
neutral,right correct color go dig find possibl
neutral,thank read blog laugh cri
neutral,ps doctor swine flu
positive,sorri
positive,much fun
neutral,tomorrow
negative,sit kati hous two away stuff swine flu differ stori
positive,glad
neutral,today happi got got school earli bore
positive,nice co
negative,man sick
negative,fail
positive,aw that cute
neutral,hug
positive,happi
neutral,oh play
neutral,friday rain
positive,love
positive,glad
neutral,dm
negative,food
neutral,tri win ticket
neutral,got home
negative,miss
positive,yay
positive,send happi mama day shout greatest ever kick day everyday love son
neutral,ahh seen drop think turn
negative,like
positive,best
neutral,two month today till mrs ahhhh
neutral,hey sorri think thank much tri head site
positive,cute
negative,boo fo
positive,excit june birthday aswel
positive,perfect
positive,nice
neutral,go rain
neutral,summer though go see blog check msn ask
positive,wish
positive,good
neutral,oh cool know kind knew bout cuz haha guy togeth
negative,get chat
negative,lost
neutral,may case ill attend back afford go
neutral,ticket worth ta car window
neutral,next time around pleas let know take lunch
negative,bum
positive,thank
positive,love
positive,well good
neutral,hi goin see
neutral,hahah except get hit car yay
positive,love
neutral,offici final get grey hair
negative,look cute
negative,good
negative,think break heart tri keep togeth fall apart
neutral,frustrat found avail tonight test guess good thing marri
neutral,that whole lot goin mayb go tonight
neutral,sunni atm need drop brother class later find
neutral,told updat person site lot check come
positive,alway look bright side life
neutral,woke today total miss quiz open lab useless
positive,good
neutral,went get perhap sign need anyway
positive,complet forgot today lol happi beauti mum
negative,sick
neutral,want fake
neutral,sale
positive,happi mother day
positive,everyon wonder day
neutral,go go tonight look like ill head main street
negative,made sad
neutral,thank first lol
negative,made fail
neutral,know
neutral,pm
negative,lost
negative,sad
neutral,got caught rain outsid cold
neutral,gave brother hug goodby took load away hous took like
negative,hurt
neutral,round two vega realiz day left
positive,thank
neutral,follow
neutral,home mall got mommi gift
positive,good
neutral,ugh definit speak soon
negative,tough
negative,exhaust
neutral,clean time
negative,hate
positive,hope well
positive,happi mother day peopl
positive,yes hes realli back wait day arriv final
neutral,left first left bed look
negative,weird
positive,realli curious
positive,love
neutral,chat sinc go school
negative,think hes even fit unit
neutral,itll probabl come like drunk nervous help
neutral,uni assign
neutral,yeah ill two option right
positive,wish could come true
positive,love
positive,yeah
neutral,yeah one care
positive,thank good
negative,okay hate
negative,someon stole new laptop airport
negative,scare
neutral,heh meant differ
positive,love monday
negative,miss
positive,cute
positive,fan
negative,worri bus
neutral,left chocol egg sit offic call name
negative,depress
negative,might good thing
negative,bad
positive,love
positive,fave
positive,greatest
neutral,whew ok realli want happen friend love wait talk monday class
negative,miss
positive,ah thank appreci
positive,cross state nice home
positive,peac quiet enjoy last
negative,miss
negative,help
neutral,got ticket gig glasgow gut wait til novemb though
negative,like
positive,love
negative,sore
positive,bless
negative,stupid
positive,love
neutral,agre pre decid think
positive,hope
positive,awesom
neutral,found mama
neutral,anytim buddi
neutral,bit
negative,utter
positive,happi mother day
neutral,happi birthday forgot say birthday feel awe
positive,matter love riot
negative,evil laugh
neutral,vancouv get tough back
positive,rest well
negative,tummi hurt
neutral,happen warm return
negative,got bee
neutral,sit home watch atl time todayi wait jess come like go get head later second sat
negative,feel like ish
neutral,ill tri silli silli tweetdeck mean
positive,right direct
positive,love
neutral,still work
neutral,get paid week roll tuesday
neutral,miss
neutral,mail help got repli right get mean get
neutral,knew someth wrong guy confirm thank pic
neutral,oh hun sorri everyth last thing deserv unhappi home
neutral,ugh poor beauti girl went new tire there repair still tire
positive,awesom know peopl think take make offer help want
